Sub,Category,Dif,Time periods,Question,Answer
2194,History,3,1500-1800,The Protestant Reformation was started by whom?,Martin Luther.
2195,History,3,"1800-1900, 1900-1950, 1950s",What was the name given to the laws aimed at enforcing segregation in public places in the United States?,Jim Crow Laws.
2196,History,4,<1500,The Roman emperor Constantine made what legal by the Edit of Elan?,Christianity.
2197,History,5,<1500,Which civilization was centered around the city of Tenochtitlan?,Aztec.
2198,History,4,<1500,What was the first dynasty of Imperial China?,The Qin Dynasty.
2199,History,3,1900-1950,In which country was Che Guevara born?,Argentina.
2200,History,1,1500-1800,Which country did England send convicts to between 1788 and 1868?,Australia.
2201,History,1,1900-1950,Who ran the USSR during World War II?,Joseph Stalin.
2202,Pop culture,5,1950s,"Which movie star married the Prince of Monaco on April 18th, 1956?",Grace Kelly.
2203,Politics,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the first Ten Amendments of the US Constitution known as?,The Bill of Rights.
2204,History,2,1500-1800,What was New York called before it was called New York?,New Amsterdam.
2205,History,1,1800-1900,"In 1867, which country did the United States acquire Alaska from?",Russia.
2207,History,1,<1500,Who was the founder of the Mongol Empire?,Genghis Khan.
2208,History,4,1960s,"In 1967, who became the first black US Supreme Court Justice?",Thurgood Marshall.
2209,Politics,5,"1960s, 1970s",Who was the only female prime minister of Israel?,Golda Meir.
2210,Theology,3,<1500,In which country did Buddhism originate?,Nepal.
2211,Politics,4,"1970s, 1980s",Who was the President of the United States during the Iran Hostage Crisis?,Jimmy Carter.
2212,History,1,<1500,What were warriors in Japan known as?,Samurai.
2214,Literature,3,1800-1900,The 1859 novel A Tale of Two Cities is set during which historic event?,The French Revolution.
2215,History,4,1500-1800,Who was the king of France during the French Revolution?,Louis XVI.
2216,History,2,1980s,Which country did the United Kingdom fight against in the Falklands War?,Argentina.
2217,Technology,3,1500-1800,George Stephenson invented which mode of transportation?,The steam engine.
2218,History,5,1900-1950,From what city did the Titanic set sail?,South Hampton.
2219,Pop culture,4,2000s,Who was the airline pilot that successfully landed his stricken plane in the Hudson River in 2009?,Chesley 'Sully' Sullenberger.
2220,Science,4,1950s,Who invented the polio vaccine?,Jonas Salk.
2221,History,3,<1500,What kind of animal did Cleopatra use to kill herself?,A snake.
2223,Politics,3,1900-1950,In which year did India gain independence from Britain?,1947
2224,History,2,1500-1800,What was the first capital of the United States?,New York City.
2225,History,5,1900-1950,"Neuengamme, Gross-Rosen, and Natzweiler are all examples of what?",Nazi concentration camps.
2226,History,4,1950s,What disastrous economic program did China’s Mao Zedong announce in 1958?,The Great Leap Forward.
2227,History,1,<1500,What was the first city to reach a population of one million?,Rome.
2228,History,2,1900-1950,What year was the United Nations established?,1945
2229,Sports,3,1900-1950,What country won the first World Cup of Soccer?,Uruguay.
2230,Economics,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Ulysses S Grant appears on the front on which denomination of US currency?,The $50 bill.
2231,History,5,1500-1800,Whose crew was the first to sail completely around the world?,Ferdinand Magellan.
2232,History,5,1500-1800,Who captured and murdered the Inca Emperor Atahualpa?,Francisco Pizarro
2233,Geography,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many Great Pyramids of Giza are there?,Three.
2234,History,2,1500-1800,What was the first cash crop in America?,Tobacco.
2235,Politics,3,1900-1950,Who was the first US President to appear on television?,Franklin D Roosevelt.
2236,Pop culture,2,2000s,Which actress did Tom Green marry for only one year in 2001?,Drew Barrymore.
2237,Pop culture,5,2000s,"In 2002, who did Johnny Ramone receive flak for praising during his induction speech into the Rock & Roll Hall of Fame?",George W Bush.
2238,Pop culture,1,2010s,Which Los Angeles native married into the British Royal Family in 2018?,Meghan Markle.
2239,Pop culture,3,2010s,Which Australian actor was named Sexiest Man Alive by People magazine in 2014?,Christ Hemsworth.
2240,Sports,2,2000s,How many Canadian teams have won the Stanley Cup since the year 2000?,Zero.
2241,Pop culture,3,2000s,"In 2008, Justin Timberlate and Usher had a bidding was to sign which artist?",Justin Bieber.
2242,Pop culture,2,2000s,How did Steve Irwin die?,Bitten by a sting ray.
2243,Literature,5,2010s,What Harper Lee novel was published 55 years after To Kill a Mockingbird?,Go Set a Watchman.
2244,Language,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Turophiles are lovers of what?,Cheese.
2246,Pop culture,3,"2000s, 2010s, 2020s",What is the last name of the actress sisters Zooey and Emily?,Deschanel.
2247,Food,1,"2010s, 2020s",What is the most popular cheese recipe in North America?,Mac and cheese.
2248,Movies,1,2010s,What is the sequel to the movie Finding Nemo?,Finding Dory.
2249,Music,4,2000s,Redfoo and SkyBlu founded which music group?,LMFAO.
2250,Movies,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the cinema world, what does TIFF stand for?",Toronto International Film Festival.
2251,Pop culture,4,2010s,What gossip website was shut down in 2016 after Hulk Hogan was awarded $140 million in damages?,Gawker.com
2252,Language,3,2010s,"What word was added to the Oxford dictionary in 2015, meaning thrusting hip movements in a low squatting stance?",Twerking.
2253,Art,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What type of sculpture depicts a person from the chest up?,A bust.
2254,Music,3,1970s,What did Jefferson Airplane evolve into in 1970?,Jefferson Starship.
2255,Art,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What name is given to a picture or design made up of tesserae?,Mosaic.
2256,Television,3,2000s,David Schwimmer starred on which HBO television series?,Band of Brothers.
2257,Pop culture,4,2000s,Which famous drummer made headlines in 2008 after he survived a plane crash?,Travis Barker.
2258,Music,1,1980s,What musician bought ATV Music and every Beatles song for $47 million in 1985?,Michael Jackson.
2259,Pop culture,2,2010s,What toy designed for kids with ADHD concentratte became a short-lived fad in 2017?,The fidget spinner.
2260,Art,1,1900-1950,What art movement is Salvador Dali a part of?,Surrealism.
2261,Art,3,2000s,Who did Michael Douglas marry in 2000?,Catherine Zeta-Jones.
2262,Technology,5,2010s,"In 2016, which smartphone did many airlines ban from flying on their flights over fears of it catching fire?",The Samsung Galaxy Note 7.
2263,History,2,2010s,"Which industrial disaster occurred on April 20th, 2010?",The Deepwater Horizon oil spill.
2264,Pop culture,5,"1990s, 2000s",Which actor owned a pet pig named Max for 18 years?,George Clooney.
2265,Pop culture,4,1960s,Who married Mia Farrow at the Sands in Las Vegas in 1966?,Frank Sinatra.
2266,Television,3,"2000s, 2010s",Who hosted the game show Deal or no Deal?,Howie Mandel.
2267,Literature,3,2010s,"After a 244 year run, which publication's last printed edition was in 2010?",Encyclopdia Britannica.
2268,Pop culture,2,2010s,George Zimmerman was acquitted in the shooting death of what teen?,Trayvon Martin.
2269,Pop culture,3,2010s,What Baauer song spent five weeks at the top of the Billboard 100 after it became a popular Internet meme?,Harlem Shake.
2270,Pop culture,3,2010s,What did Bradley Manning change his name to after being sentenced to jail?,Chelsey Manning.
2271,Pop culture,4,2010s,The Ice Bucket Challenge raised money for research into what disease?,ALS. (Lou Gehrig's disease)
2272,Pop culture,5,2010s,Which actress made headlines after she had a preventative double mastectomy in 2013?,Angelina Jolie.
2273,Pop culture,2,"2000s, 2010s, 2020s",Gal Gadot spent two years in which country's military?,Israel.
2274,Pop culture,5,2010s,Which blogger did Khloe Kardashian call out as being her personal bully?,Perez Hilton.
2275,Nature,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The holey plant Monstera deliciosa is commonly known as what?,The Swiss cheese plant.
2277,Pop culture,4,"2000s, 2010s, 2020s",Which pop star is the godmother of both of Elton John’s sons?,Lady Gaga.
2278,Pop culture,5,2000s,"In 2005, which celebrity had to issue an apology after her cell phone was hacked and phone numbers of other celebrities were posted on the internet?",Paris Hilton.
2279,Pop culture,3,2000s,"In 2001, which Hollywood actress was arrested for shoplifting from the Saks Fifth Avenue in Beverly Hills?",Winona Ryder.
2280,Music,3,2020s,Which artist made history in 2020 as the youngest winner of the Grammys’ four main categories?,Billie Eilish.
2281,Pop culture,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Oprah Winfrey's real first name?,Orpah.
2283,Pop culture,5,"1980s, 1990s, 2000s, 2010s, 2020s",What is tattooed on Ozzy Osbourne's knees?,Smiley faces.
2284,Pop culture,2,2000s,In which year did Heath Ledger die?,2008
2285,Pop culture,3,2000s,Which awards show did Madonna kiss Britney Spears and Christina Aguilera on stage?,MTV Video Music Awards.
2286,Pop culture,2,1990s,Who was Tom Cruise's second wife?,Nicole Kidman.
2287,Pop culture,4,2000s,Alec Baldwin divorced whom in 2001?,Kim Basinger.
2288,Pop culture,5,"1980s, 1990s, 2000s, 2010s, 2020s",What is guitarist Slash's real name?,Saul Hudson.
2290,Pop culture,4,2000s,Who did Lisa Marie Presley marry in 2002?,Nicholas Cage.
2291,Pop culture,3,2010s,Who married Justin Theroux in 2015?,Jennifer Aniston.
2292,Pop culture,4,2020s,"Richard Gere, Brad Pitt, Johnny Depp, and George Clooney have all won which award twice?",People Magazine Sexiest Man Alive
2293,Pop culture,4,"2000s, 2010s, 2020s",Who is Abel Makkonen Tesfaye more commonly known as?,The Weeknd.
2294,Theater,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the name of Annie’s dog in the musical Annie?,Sandy.
2295,Theater,3,1990s,What was Disney’s first broadway musical?,Beauty and the Beast.
2296,Theater,1,1980s,Why is Jean Valjean imprisoned in the musical Les Misérables?,Stealing a loaf of bread.
2297,Theater,2,1960s,What is the opening number in the 1964 play Fiddler on the Roof?,Tradition.
2298,Theater,1,"1990s, 2000s, 2010s, 2020s",Which musical is based on the songs of ABBA?,Mamma Mia!
2299,Theater,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is any professional theater venue in Manhattan in New York City with a seating capacity between 100 and 499 known as?,Off broadway.
2300,Theater,2,"1980s, 1990s, 2000s, 2010s, 2020s",In which city is the musical The Phantom of the Opera set?,"Paris, France."
2301,Theater,1,"1980s, 1990s, 2000s, 2010s, 2020s",Which musical features a group of drama students at New York’s High School for the Performing Arts?,Fame.
2302,Theater,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which musical features the song All That Jazz?,Chicago.
2305,Theater,5,"2010s, 2020s",Who wrote the hit musical Hamilton?,Lin Manuel-Miranda.
2306,Theater,3,1980s,What was Jean Valjean's prisoner number in the musical Les Miserables?,24601
2308,Theater,5,2010s,"Which musical retells the events of 9/11, set in a small Canadian town?",Come From Away.
2309,Theater,3,2010s,The Last Ship is a musical by which famous rockstar?,Sting.
2310,Theater,5,1960s,How many colours are in Joseph’s Amazing Technicolor Dreamcoat?,29
2311,Theater,3,2000s,At which address do the Banks family live in Mary Poppins?,17 Cherry Tree Lane.
2312,Theater,5,2010s,Which London theatre was home to Shrek The Musical?,Theatre Royal Drury Lane.
2314,Music,3,1990s,Which famous drummer wrote the music for the 1999 animated movie Tarzan?,Phil Collins.
2315,Theater,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What phrase is often said to theater performers to wish them a good performance?,Break a leg.
2316,Theater,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are days during the week when theaters are closed colloquially called?,Dark days.
2317,Theater,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the out-of-view area on a stage that is on the sides of the acting area called,The wing.
2318,Theater,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is it known as when an actor talks directly to the audience or starts talking as themselves rather than as their character, while the other characters are oblivious?",Breaking the fourth wall.
2319,Theater,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which form of play are all characters assigned roughly the same stage time and equal-sized roles?,Ensemble.
2320,Movies,3,1980s,What is the name of the school in the 1985 movie The Breakfast Club?,Shermer High School.
2322,Theater,1,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the room in a theater that serves as a lounge and waiting area for performers before, during, and after a performance?",The green room.
2323,Pop culture,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country was Jim Carrey born?,Canada.
2324,Pop culture,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What popular Japanese puzzle game could be described as a crossword but with numbers?,Sudoku.
2325,Music,2,2000s,What is the name of Daft Punk's live album?,Alive.
2326,Television,1,1990s,Which cartoon duo is described as 'One is a genius; the other's insane.'?,Pinky and The Brain.
2327,Sports,5,2020s,What is the most common sport team name in all of American sports?,Eagles.
2329,Movies,2,1990s,"Which action movie stars Nicholas Cage, Sean Connery, and Ed Harris?",The Rock.
2331,Math,1,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is four million sixty nine to the power of zero?,One.
2332,Television,4,"1980s, 1990s, 2000s, 2010s, 2020s",What do the letters in the media source CNN stand for?,Cable News Network.
,Pop culture,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is actor Michael Keaton's real name?,Michael Douglas.
,History,4,<1500,"Who is said to be the last Emperor of Rome during Pax Romana, reigning from 161 CE to 180 CE?",Marcus Aurelius.
,Language,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Translate this from French into English: Plaque d'immatriculation.,License plate.
,Miscellaneous,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country was the sauna invented?,Finland.
,Language,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the technical term for a nose job?,Rhinoplasty.
,Science,5,2020s,How many elements are on a complete modern periodic table?,118
,Movies,1,1990s,What is the name of the spaceman toy in the 1995 movie Toy Story?,Buzz Lightyear.
,Nature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What color are emeralds?,Green.
,Nature,1,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many gas giant planets are in the solar system?,"Four. (Jupiter, Saturn, Neptune, and Uranus)"
,Literature,2,"1990s, 2000s",What is the name of Harry Potter's pet owl in the Harry Potter book series?,Hedwig.
,Music,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What comes next in this series? Bass, baritone, tenor...",Alto.
